reference_transcription,reference_translation
j'ai vraiment un super souvenir de ce de ce quartier à cette époque quoi plus la mixité euh je me rappelle alors là c'est beaucoup plus tard mais quand j'avais dix-huit ans à peu près je pouvais sortir à Saint-Germain des Près et dans d'autres quartiers avec des amis on allait danser on allait voilà boire des coups et quand je disais aux gens ça c'est quelque chose qui m'a énormément ben marqué quand même quand je disais aux gens j'habite ben rue de la Roquette boulevard les gens disaient mais c'est où ça la Bastille euh oh mais c'est où c'est vers le Bois de Vincennes oh mais ça craint un peu là-bas il y avait vraiment j'étais étonnée à dix-huit ans de voir le nombre de personnes que je pouvais rencontrer donc des jeunes qui ne connaissaient pas ce quartier qui semblaient quand même être alors pour le coup Bois de Vincennes enfin très assez éloignés enfin pas connus en tous cas,I really have a great memory of that neighborhood at that time plus the diversity I remember this was much later but when i was around eighteen I could go out in Saint-Germain-des-Pres and other neighborhoods with friends we went out to dance we went to have drinks and when I told people this is something that really struck me when I told people I lived on rue de la Roquette boulevard people would say where is that the Bastille where is it is it near the Bois de Vincennes isn't it a bit sketchy over there really was I was amazed at eighteen to see how many young people I met who did not know this neighborhood and seemed the Bois de Vincennes I mean quite far away not well known anyway
et je me rappelle de cette mixité moi je pouvais rentrer quand même à n'importe quelle heure il y avait toujours euh,and I remember that diversity me I could come home at any hour there were always
il y a du monde dans la rue et des blacks sur les bancs il y avait quand même beaucoup plus de de je sais enfin de logements sociaux enfin beaucoup plus oui de personnes voilà africaines qui restaient qui jouaient voilà du tam tam le soir sur les bancs euh qui pouvaient parler dehors et quand on voit la rue de la Roquette maintenant et avant,there were people in the street and Black people on the benches there was much more social housing many more African people who would stay play drums in the evening on the benches who could be out chatting and when you see rue de la Roquette now compared to before
alors c'est alors ça devait faire un peu taudis peut-être je sais plus à l'époque j'ai un souvenir comme ça euh enfin plus oui à quoi ça pouvait ressembler enfin oui c'est ça ça n'a plus rien à voir quoi c'est,so it must have looked a bit run-down maybe I do not remember at the time that is how I picture it more yes what it might have looked like yes that is it it is nothing like that anymore
c'est justement ce que j'allais vous demander parce que c'est en train de changer à toute allure ces ce onzième c'est peut-être fini d'ailleurs c'est peut-être fait déjà,that is exactly what I was going to ask you because it is changing very fast it is maybe already over this 11th arrondissement it is maybe already done
oui je pense que ça bougera plus et que c'est c'est devenu un quartier à la mode alors moi je sais même plus quand est-ce qu'il est devenu à la mode et j'ai l'impression qu'il est en train de retomber les restos tombent les euh bon,yes I do not think it will change anymore it has become a trendy neighborhood well me I do not even know when it became trendy and I have the feeling the hype is dying down restaurants are closing the
les gens s'en vont plus vers le vingtième en ce moment,people are moving more towards the 20th these days
vingtième ouais et je pense qu'un jour ça sera,the 20th yes and I think one day it will be
Montreuil Montreuil et puis oui dix-neuvième je pense qu'il va y avoir des des ver-,Montreuil Montreuil and then yes the 19th I think there will be some
et euh ce ce côté quartier à la mode ne vous a pas gêné,and that trendy neighborhood side of things did not bother you
si énormément énormément mais ça veut dire fuir la rue de la Roquette essayer de pas la prendre pas aller pas passer par là pour aller à la Bastille,it did a lot a lot it meant avoiding rue de la Roquette trying not to take it not going that way to get to Bastille
c'est quand même cantonné à peu près euh justement sur deux trois rues,it is still confined to two or three streets more or less
oui,yes
ça du côté des ventes les artisans sont partis maintenant et ça se ça se vend cher aussi,on the sales side the artisans have left now and things sell at a high price too
